Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
16,1,0.67,3,6,25,0.787812041115999,324.36,1,862400,c,7570
8,1,0.11,2,38,48,0.419236417033762,359.34,0,959200,d,12128
9,1,0.49,3,32,69,0.582232011747428,332.84,1,836000,c,2181
7,0,0.3,2,31,52,0.589574155653448,358.28,1,924000,c,5946
8,1,0.12,5,13,42,0.552863436123348,364.64,0,968000,b,9054
6,1,0.1,2,4,11,0.508810572687221,387.96,1,880000,b,10947
7,1,0.08,2,42,52,0.357562408223192,349.8,1,1038400,d,4717
8,1,0.1,2,34,45,0.378120411160062,348.74,1,1038400,d,8008
10,0,0.65,7,18,39,0.656387665198241,333.9,1,959200,b,8179
8,0,0.29,3,18,58,0.618942731277535,349.8,1,800800,b,6324
7,0,0.3,2,35,53,0.430983847283398,342.38,1,844800,b,3789
10,1,0.22,2,8,28,0.662995594713654,334.96,1,888800,b,8946
10,0,0.73,6,6,17,0.508810572687221,334.96,1,994400,d,3629
6,0,0,2,27,60,0.428046989720995,365.7,1,968000,c,2451
7,1,0.31,4,51,140,0.429515418502201,347.68,1,1038400,d,4028
8,1,0.08,3,15,63,0.552863436123348,354.04,1,836000,b,10493
8,1,0,1,6,13,0.412628487518349,358.28,0,836000,a,20
6,1,0,2,5,27,0.398678414096916,378.42,0,950400,b,2064
7,1,0,2,4,8,0.457415565345074,355.1,1,959200,a,2765
13,0,0.49,6,10,24,0.831864904552135,325.42,1,1056000,c,2938
7,1,0.12,2,4,7,0.457415565345074,344.5,1,871200,b,10309
8,1,0.01,2,5,11,0.367841409691623,358.28,1,1012000,c,3918
8,1,0,1,8,20,0.464757709251094,358.28,1,853600,b,4830
7,1,0.03,2,14,31,0.395007342143898,354.04,1,809600,c,6630
10,0,0.58,3,5,10,0.523494860499261,333.9,1,844800,b,11434
8,1,0.13,2,11,31,0.464757709251094,345.56,1,959200,b,10987
10,0,0.35,2,10,28,0.529368575624075,341.32,1,906400,b,8830
6,1,0.09,2,4,13,0.317914831130681,393.26,1,959200,b,2237
8,0,0.15,6,16,108,0.567547723935388,346.62,0,827200,c,4196
8,0,0.33,2,15,29,0.376651982378848,350.86,1,994400,d,4755
8,1,0.24,2,15,63,0.464757709251094,349.8,1,836000,b,5438
7,0,0.38,1,17,31,0.446402349486045,355.1,1,915200,c,6012
